Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	sound.id	marker	old.selec
217.325632635782	219.10034918907	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	96.8488979419048	72	Spectrogram 1	1	141.1	4691.6	JG13_Lp046.WAV_4	end_marker	33
220.10034918907	222.084068009932	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	99.6236144951928	73	Spectrogram 1	1	246.9	4621.1	JG13_Lp046.WAV_5	end_marker	34
223.084068009932	225.131551003129	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	102.607333316055	74	Spectrogram 1	1	176.4	4726.9	JG13_Lp046.WAV_6	end_marker	35
226.131551003129	228.335700662993	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	105.654816309252	75	Spectrogram 1	1	176.4	4338.9	JG13_Lp047.WAV_1	end_marker	36
229.335700662993	231.577854858004	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	108.858965969116	76	Spectrogram 1	1	249.4	5936.5	JG13_Lp062.WAV_1	end_marker	37
232.577854858004	234.738943293379	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	112.101120164127	77	Spectrogram 1	1	218.4	4294.3	JG13_Lp062.WAV_2	end_marker	38
235.738943293379	236.738943293379	PB_Lpa_0003_T1_Ashton_M_2m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0003_T1_Ashton_M_2m.wav	115.262208599502	78	Spectrogram 1	1	1172.32545392787	2648.15842700099	end_marker	end_marker	39
238.404679100104	240.102638283778	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	1.1083525694918	79	Spectrogram 1	1	0	4112.5	JG13_Lp003.WAV_1	end_marker	2
241.102638283778	243.205586129583	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	3.80631175316527	80	Spectrogram 1	1	0	4485.9	JG13_Lp009.WAV_1	end_marker	3
244.205586129583	246.268851435705	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	6.90925959897026	81	Spectrogram 1	1	0	4703.6	JG13_Lp009.WAV_2	end_marker	4
247.268851435705	249.477604270172	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	9.9725249050927	82	Spectrogram 1	1	0	4006.8	JG13_Lp009.WAV_3	end_marker	5
250.477604270172	252.74619837448	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	13.1812777395598	83	Spectrogram 1	1	0	8191.8	JG13_Lp012.WAV_1	end_marker	6
253.74619837448	256.078806084231	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	16.4498718438682	84	Spectrogram 1	1	0	7637.4	JG13_Lp012.WAV_2	end_marker	7
257.078806084231	259.098942138653	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	19.7824795536188	85	Spectrogram 1	1	0	6220.8	JG13_Lp016.WAV_1	end_marker	8
260.098942138653	262.059055517338	PB_Lpa_0005_T1_Ashton_M_4m.wav	/home/marce/Dropbox/Projects/call_degradation_l_palavanensis/data/raw/recordings/PB_Lpa_0005_T1_Ashton_M_4m.wav	22.8026156080406	86	Spectrogram 1	1	0	5296.9	JG13_Lp016.WAV_2	end_marker	9
